STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE
ALABAMA,Crenshaw County Sheriff's Office,County,Crenshaw County ,Warrant Service Officer
ARIZONA,Navajo County Sheriff's Office,County,Navajo County,Warrant Service Officer
FLORIDA,Alachua Police Department,Municipality,,Task Force Model
FLORIDA,Apopka Police Department,Municipality,,Task Force Model
FLORIDA,Atlantis Police Department,Municipality,,Task Force Model
FLORIDA,Auburndale Police Department,Municipality,,Task Force Model
FLORIDA,Belle Isle Police Department,Municipality,,Task Force Model
FLORIDA,Blountstown Police Department,Municipality,,Task Force Model
FLORIDA,Cape Coral Police Department,Municipality,,Task Force Model
FLORIDA,Cocoa Police Department,Municipality,,Task Force Model
FLORIDA,Davenport Police Department,Municipality,,Task Force Model
FLORIDA,Eatonville Police Department,Municipality,,Task Force Model
FLORIDA,Edgewater Police Department,Municipality,,Task Force Model
FLORIDA,Fellsmere Police Department,Municipality,,Task Force Model
FLORIDA,Florida A&M University Police Department,State Agency,,Task Force Model
FLORIDA,Florida Department of Agriculture,State Agency,,Task Force Model
FLORIDA,Florida Department of Environmental Protection,State Agency,,Task Force Model
FLORIDA,Florida Department of Lottery Security Division,State Agency,,Task Force Model
FLORIDA,Florida Division of Alcoholic Beverages and Tobacco,State Agency,,Task Force Model
FLORIDA,Florida Gaming Control Commission,State Agency,,Task Force Model
FLORIDA,Florida Gulf Coast University Police Department,State Agency,,Task Force Model
FLORIDA,Florida International University Police Department,State Agency,,Task Force Model
FLORIDA,Florida Polytechnic University Police Department,State Agency,,Task Force Model
FLORIDA,Florida Southwestern State College Police Department,State Agency,,Task Force Model
FLORIDA,Gulf Breeze Police Department,Municipality,,Task Force Model
FLORIDA,Hialeah Police Department,Municipality,,Task Force Model
FLORIDA,Indialantic Police Department,Municipality,,Task Force Model
FLORIDA,Kissimmee Police Department,Municipality,,Task Force Model
FLORIDA,Lakeland Police Department,Municipality,,Task Force Model
FLORIDA,Lantana Police Department,Municipality,,Task Force Model
FLORIDA,Live Oak Police Department,Municipality,,Task Force Model
FLORIDA,Longboat Key Police Department,Municipality,,Task Force Model
FLORIDA,Longwood Police Department,Municipality,,Task Force Model
FLORIDA,Marco Island Police Department,Municipality,,Task Force Model
FLORIDA,Melbourne Beach Police Department,Municipality,,Task Force Model
FLORIDA,Melbourne International Airport Police Department,Municipality,,Task Force Model
FLORIDA,Melbourne Police Department,Municipality,,Task Force Model
FLORIDA,New College of Florida Police Department,State Agency,,Task Force Model
FLORIDA,New Port Richey Polce Department,Municipality,,Task Force Model
FLORIDA,New Smyrna Beach Police Department,Municipality,,Task Force Model
FLORIDA,North Port Police Department,Municipality,,Task Force Model
FLORIDA,Northwest Florida State College Police Department,State Agency,,Task Force Model
FLORIDA,Oakland Police Department,Municipality,,Task Force Model
FLORIDA,Ocala Police Department,Municipality,,Task Force Model
FLORIDA,Ocean Ridge Police Department,Municipality,,Task Force Model
FLORIDA,Ocoee Police Department,Municipality,,Task Force Model
FLORIDA,Orange City Police Department,Municipality,,Task Force Model
FLORIDA,Ormond Beach Police Department,Municipality,,Task Force Model
FLORIDA,Palm Springs Police Department,Municipality,,Task Force Model
FLORIDA,Pembroke Park Police Department,Municipality,,Task Force Model
FLORIDA,Pembroke Police Department,Municipality,,Task Force Model
FLORIDA,Ponce Inlet Police Department ,Municipality,,Task Force Model
FLORIDA,Port Orange Police Department,Municipality,,Task Force Model
FLORIDA,Punta Gorda Police Department,Municipality,,Task Force Model
FLORIDA,Rockledge Police Department,Municipality,,Task Force Model
FLORIDA,Sanford Airport Police Department,Municipality,,Task Force Model
FLORIDA,Sanford Police Department,Municipality,,Task Force Model
FLORIDA,Satellite Beach Police Department,Municipality,,Task Force Model
FLORIDA,Sebastian Police Department,Municipality,,Task Force Model
FLORIDA,Sewalls Point Police Department,Municipality,,Task Force Model
FLORIDA,South Daytona Police Department,Municipality,,Task Force Model
FLORIDA,St. Cloud Police Department,Municipality,,Task Force Model
FLORIDA,Stuart Police Department,Municipality,,Task Force Model
FLORIDA,Tallahassee State College Police Department,State Agency,,Task Force Model
FLORIDA,University of Central Florida Police Department,State Agency,,Task Force Model
FLORIDA,University of Florida Police Department,State Agency,,Task Force Model
FLORIDA,University of North Florida Police Department,State Agency,,Task Force Model
FLORIDA,University of West Florida Police Department,State Agency,,Task Force Model
FLORIDA,West Melbourne Police Department,Municipality,,Task Force Model
FLORIDA,West Palm Beach Police Department,Municipality,,Task Force Model
FLORIDA,Windermere Police Department,Municipality,,Task Force Model
FLORIDA,Winter Springs Police Department,Municipality,,Task Force Model
FLORIDA,Zephyrhills Police Department,Municipality,,Task Force Model
GEORGIA,City of Monroe Police Department,Municipality,,Task Force Model
GEORGIA,Montgomery County Sheriff's Office,County,Montgomery County,Jail Enforcement Model
GEORGIA,Murray County Sheriff's Office,County,Murray County,Jail Enforcement Model
GEORGIA,Spalding County Sheriff's Office,County,Spalding County,Jail Enforcement Model
MICHIGAN,Roscommon County Sheriff's Office,County,Roscommon County,Task Force Model
MISSOURI,Christian County Sheriff's Office,County,Christian County,Task Force Model
MONTANA,Cascade County Sheriff's Office,County,Cascade County,Warrant Service Officer
NEBRASKA,Sarpy County Department of Corrections  ,County,Sarpy County,Warrant Service Officer
NEW HAMPSHIRE,Candia Police Department,Municipality,,Task Force Model
NEW HAMPSHIRE,New Hampshire State Police,State Agency,,Task Force Model
NEW HAMPSHIRE,Rockingham County Sheriff's Office,County,Rockingham County,Task Force Model
OKLAHOMA,Eufala Police Department,Municipality,,Task Force Model
OKLAHOMA,Muskogee County Sheriff's Office,County,Muskogee County,Warrant Service Officer
OKLAHOMA,Oklahoma Department of Corrections,State Agency,,Jail Enforcement Model
OKLAHOMA,Oklahoma Department of Corrections,State Agency,,Warrant Service Officer
PENNSYLVANIA,Bucks County Sheriff's Office,County,Bucks County,Task Force Model
PENNSYLVANIA,Lancaster County Sheriff's Office,County,Lancaster County,Task Force Model
PENNSYLVANIA,Northwest Regional Police Department,Municipality,,Task Force Model
TENNESSEE,Giles County Sheriff's Office,County,Giles County,Warrant Service Officer
TEXAS,Austin County Sheriff's Office,County,Austin County,Warrant Service Officer
TEXAS,Burleson County Sheriff's Office,County,Burleson County,Warrant Service Officer
TEXAS,Coke County Sheriff's Office,County,Coke County,Task Force Model
TEXAS,Denton County Sheriff's Office,County,Denton County,Jail Enforcement Model
TEXAS,Ellis County Sheriff’s Office,County,Ellis County,Jail Enforcement Model
TEXAS,Live Oak County Sheriff's Office,County,Live Oak County,Warrant Service Officer
TEXAS,San Jacinto County Sheriff's Office,County,San Jacinto County,Warrant Service Officer
TEXAS,Terrell County Sheriff's Office,County,Terrell County,Warrant Service Officer
TEXAS,Wichita County Sheriff's Office,County,Wichita County,Warrant Service Officer
TEXAS,Winkler County Sheriff's Office,County,Winkler County,Task Force Model
VIRGINIA,Franklin County Sheriff's Office,County,Franklin County,Task Force Model
VIRGINIA,Shenandoah County Sheriff's Office,County,Shenandoah County ,Task Force Model
VIRGINIA,Smyth County Sheriff's Office,County,Smyth County,Task Force Model
WYOMING,Laramie County Sheriff’s Office,County,Laramie County,Warrant Service Officer
WYOMING,Sweetwater County Sheriff's Office,County,Sweetwater County,Task Force Model
